id,name,short_name,address,representative,phone,account_number,account_holder,bank_name,logo_url,created_at,updated_at,brand_code,legal_representative,representative_phone,center_address,center_phone
CN001,Trần Lãm - Hưng Yên,Phòng tập Hưng Yên,"631 Lê Quý Đôn, P. Trần Lãm, tỉnh Hưng Yên",Ngô Duy An,0343908054,1990231299999,Công ty CP đầu tư và phát triển Q&C,MB Bank,https://cdn-icons-png.flaticon.com/512/1865/1865269.png,2026-02-01 01:38:01.803746+00,2026-03-08 09:09:47.899584+00,CN1,,,,
CN002,Đề Thám - Hưng Yên,Phòng tập Đề Thám,"130 Trần Hưng Đạo, P. Đề Thám, tỉnh Hưng Yên",Ngô Duy An,0981039697,1990231299999,Công ty CP đầu tư và phát triển Q&C,MB Bank,https://cdn-icons-png.flaticon.com/512/1865/1865269.png,2026-02-01 01:38:01.803746+00,2026-03-08 09:08:15.875683+00,CN2,,,,
CN003,Nam Định - Ninh Bình,Phòng tập Nam Định,"Tầng 4, Toà 5T2, 91 Điện Biên, phường Cửa Bắc, tỉnh Ninh Bìn",Phạm Ngọc Hà,0832 646 686,718686886," Công ty CP đầu tư và phát triển Q&H",MB Bank,https://cdn-icons-png.flaticon.com/512/1865/1865269.png,2026-02-01 01:38:01.803746+00,2026-03-08 09:08:20.884949+00,CN3,,,,
